Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration,TC per 4f,TC per 8f,TC per 12f,TC per 16f,TC per 20f,TC per 24f
2025-08-22 15:08:53,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_785490_0.3.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.3173,18.7287,0.9923,0.677,8.00,8,24,256x192,3.00 sec,0.9779,0.9638,0.9505,0.9363,0.9261,0.0
2025-08-22 15:11:06,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_785490.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.299,18.1203,0.9887,0.6906,8.00,8,80,256x192,10.00 sec,0.966,0.9451,0.9353,0.9332,0.9354,0.9331
2025-08-22 15:26:26,A_focused_woman_carefully_applies_face_cream_with_gentle_motions_in_her_bathroom_785490.mp4,A focused woman carefully applies face cream with gentle motions in her bathroom,0.3017,17.8711,0.9943,0.6895,8.00,8,120,256x192,15.00 sec,0.9831,0.973,0.9675,0.9639,0.958,0.9536
2025-08-22 15:28:37,A_man_wearing_white_tank_top_practices_cooking_flipping_pancakes_in_his_garage_home_gym_785490_0.1.mp4,"A man wearing white tank top practices cooking, flipping pancakes in his garage home gym",0.407,21.4557,0.9883,0.5841,8.00,8,24,256x192,3.00 sec,0.9702,0.9502,0.9388,0.9341,0.929,0.0
2025-08-22 15:29:24,A_man_wearing_white_tank_top_practices_cooking_flipping_pancakes_in_his_garage_home_gym_785490.mp4,"A man wearing white tank top practices cooking, flipping pancakes in his garage home gym",0.3158,18.846,0.9902,0.6776,8.00,8,80,256x192,10.00 sec,0.9768,0.9669,0.9636,0.96,0.9555,0.9514
2025-08-22 15:30:26,A_man_wearing_white_tank_top_practices_cooking_flipping_pancakes_in_his_garage_home_gym_785490.mp4,"A man wearing white tank top practices cooking, flipping pancakes in his garage home gym",0.4033,21.4178,0.9964,0.5907,8.00,8,120,256x192,15.00 sec,0.9902,0.9845,0.9802,0.977,0.9751,0.974
2025-08-22 15:32:03,A_crystal_skeleton_is_brushing_its_teeth_in_a_bathroom_785490_0.3.mp4,A crystal skeleton is brushing its teeth in a bathroom,0.3947,22.2524,0.9874,0.5998,8.00,8,24,256x192,3.00 sec,0.979,0.9746,0.9662,0.953,0.9578,0.0
2025-08-22 15:33:28,A_crystal_skeleton_is_brushing_its_teeth_in_a_bathroom_785490.mp4,A crystal skeleton is brushing its teeth in a bathroom,0.3749,22.1904,0.9863,0.6173,8.00,8,80,256x192,10.00 sec,0.9754,0.968,0.9652,0.9601,0.959,0.9563
2025-08-22 15:34:16,A_crystal_skeleton_is_brushing_its_teeth_in_a_bathroom_785490.mp4,A crystal skeleton is brushing its teeth in a bathroom,0.337,21.4284,0.9918,0.6565,8.00,8,120,256x192,15.00 sec,0.9801,0.9722,0.9692,0.9672,0.9637,0.9617
2025-08-22 15:36:05,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_785490_0.3.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3324,21.3645,0.99,0.6643,8.00,8,24,256x192,3.00 sec,0.9836,0.978,0.974,0.9719,0.9746,0.0
2025-08-22 15:37:13,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_785490.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3366,21.0282,0.9944,0.6578,8.00,8,80,256x192,10.00 sec,0.9881,0.9827,0.9786,0.9746,0.9714,0.9694
2025-08-22 15:38:52,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_785490.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.32,20.6645,0.9916,0.6704,8.00,8,120,256x192,15.00 sec,0.979,0.9693,0.9614,0.9547,0.9506,0.9494
2025-08-22 15:39:55,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_785490_0.5.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.3947,22.0513,0.9884,0.5997,8.00,8,24,256x192,3.00 sec,0.9716,0.9698,0.9668,0.9635,0.9656,0.0
2025-08-22 15:51:25,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_785490.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.3992,21.5496,0.9903,0.5915,8.00,8,80,256x192,10.00 sec,0.9765,0.9662,0.9588,0.953,0.9483,0.9466
2025-08-22 15:53:54,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_785490.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.3349,20.5545,0.9902,0.6461,8.00,8,120,256x192,15.00 sec,0.964,0.9419,0.9266,0.9135,0.9015,0.8935
2025-08-22 15:54:57,A_man_is_practising_his_golf_swing_in_Times_Square_New_York_785490_0.5.mp4,A man is practising his golf swing in Times Square New York,0.3207,20.4324,0.9804,0.669,8.00,8,24,256x192,3.00 sec,0.9547,0.9316,0.911,0.9045,0.8911,0.0
2025-08-22 15:56:12,A_man_is_practising_his_golf_swing_in_Times_Square_New_York_785490.mp4,A man is practising his golf swing in Times Square New York,0.2945,20.4578,0.9853,0.687,8.00,8,80,256x192,10.00 sec,0.9593,0.9335,0.916,0.9044,0.8961,0.8899
2025-08-22 15:57:23,A_man_is_practising_his_golf_swing_in_Times_Square_New_York_785490.mp4,A man is practising his golf swing in Times Square New York,0.2629,19.338,0.9897,0.7249,8.00,8,120,256x192,15.00 sec,0.9677,0.9455,0.9289,0.916,0.9064,0.9059
2025-08-22 15:59:07,An_athletic_person_holds_a_steady_handstand_on_a_sandy_beach_under_a_few_white_cloud_sky_785490_0.3.mp4,An athletic person holds a steady handstand on a sandy beach under a few white cloud sky,0.3056,20.5492,0.9948,0.6906,8.00,8,24,256x192,3.00 sec,0.9852,0.9743,0.9661,0.9574,0.9539,0.0
2025-08-22 16:00:49,An_athletic_person_holds_a_steady_handstand_on_a_sandy_beach_under_a_few_white_cloud_sky_785490.mp4,An athletic person holds a steady handstand on a sandy beach under a few white cloud sky,0.3358,21.4187,0.9934,0.6589,8.00,8,80,256x192,10.00 sec,0.9836,0.9764,0.9725,0.9716,0.9709,0.9683
